,,,,,,,,,,,,,,,,,,,,,,,
947 properties found,,,,,,,,,,,,,,,,,,,,,,,
Property Link,Property Name,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Lot Size,Units,Price/Unit,NOI,Cap Rate,Asking Price,Price/SqFt,Price/Acre,Days on Market,Opportunity Zone,Longitude,Latitude
https://www.crexi.com/properties/1954031/new-jersey-atlantic-health-systems,Atlantic Health Systems,On-Market,Office,3025 Paramus Pk,Paramus,NJ,7652,Single,,10.7,21934,,,,,,,,,115,No,-74.0675943,40.9538234
https://www.crexi.com/properties/2170312/new-jersey-225-phillips-blvd-ewing-nj,"225 Phillips Blvd, Ewing NJ",On-Market,Industrial,225 Phillips Blvd,Ewing Township,NJ,8618,N/A,,,310000,,,,,,"$3,80,00,000.00 ",$122.58 ,,15,No,-74.793344,40.2817022
https://www.crexi.com/properties/1776800/20000-sf-industrial-warehouse,"25,000 SF Industrial Warehouse",On-Market,Industrial,721 E Lincoln Ave,Rahway,NJ,7065,Vacant,,,25000,1,,,,,"$77,00,000.00 ",$308.00 ,"$77,00,000.00 ",228,Yes,-74.25738677,40.60857322
https://www.crexi.com/properties/1991645/new-jersey-the-art-factory,The Art Factory,On-Market,Industrial,70 Spruce St,Paterson,NJ,7501,N/A,,,230922,4,,,,,"$1,00,00,000.00 ",$43.30 ,"$25,00,000.00 ",87,No,-74.1785809,40.9116934
https://www.crexi.com/properties/1472494/new-jersey-300-raritan-avenue,300 Raritan Avenue,On-Market,"Office, Retail",300 Raritan Avenue,Highland Park,NJ,8904,N/A,,,,,0,,,6.15%,"$24,50,000.00 ",,,561,No,-74.42797483,40.49909563
https://www.crexi.com/properties/1883304/new-jersey-tristar-products-building,Tristar Products Building,On-Market,"Industrial, Mixed Use, Office, Retail",490 US-46,Fairfield,NJ,7004,Vacant,,,62025,3.19,,,,,,,,175,No,-74.28327322,40.88598911
https://www.crexi.com/properties/2023504/new-jersey-princeton-medical-investment-surgery-center,Princeton Medical Investment  Surgery Center,On-Market,Office,932 State Rd,Princeton,NJ,8540,Multi,,,16596,,3,,"$4,03,789.00 ",6.21%,"$65,00,000.00 ",$391.66 ,,72,No,-74.6540201,40.3920322
https://www.crexi.com/properties/2184431/new-jersey-169-197-e-highland-parkway,169-197 E Highland Parkway,On-Market,Industrial,169 E Highland Pkwy,Roselle,NJ,7203,Multi,,,32000,0.96,3,,,,,,,3,No,-74.256585,40.6460621
https://www.crexi.com/properties/2139037/new-jersey-bartra-professional-services,Bartra Professional Services,On-Market,"Mixed Use, Multifamily, Office, Retail",3069 River Road,Camden,NJ,8105,N/A,,,5998,,,,,7.32%,"$20,00,000.00 ",$333.44 ,,45,No,-75.08793656,39.95936287
https://www.crexi.com/properties/1980324/new-jersey-medical-campus-above-market-increases-825-cap,Medical Campus  Above Market Increases  8.25 Cap,On-Market,"Office, Retail",1667 E Landis Ave,Vineland,NJ,8361,Multi,,,,10,,,"$3,38,160.00 ",8.25%,"$40,98,909.00 ",$171.00 ,"$4,09,890.90 ",36,No,-74.9974961,39.4824606
https://www.crexi.com/properties/1532758/new-jersey-745-joyce-kilmer-ave,"Warehouse For Sale, NEWLY REDUCED-7.5 CAPR -35 Min to Port",On-Market,Industrial,745 Joyce Kilmer Ave,New Brunswick,NJ,8901,N/A,,,138000,10.7,,,,7.50%,,,,499,No,-74.4665499,40.4763916
https://www.crexi.com/properties/1348266/new-jersey-carneys-point-salem-county-nj---600000sf,"Carneys Point Development Opportunity Salem County, NJ",On-Market,Industrial,331 N Virginia Ave,Carneys Point Township,NJ,8069,Vacant,,,,100,,,,,,,,645,No,-75.4512011,39.7411369
https://www.crexi.com/properties/1498056/new-jersey-310-stickles-pond-road,310 Stickles Pond Road,On-Market,Industrial,310 Stickles Pond Rd,Newton,NJ,7860,Vacant,,,80000,,,,,,,,,547,No,-74.76710791,41.01950398
https://www.crexi.com/properties/1087035/new-jersey-andover-800000sf,"Andover, NJ - 650,000SF in NYC Metro",On-Market,Industrial,248 Stickles Pond Road,Newton,NJ,7860,Vacant,,,650000,68,3,,,,,,,910,No,-74.7396729,41.0376283
https://www.crexi.com/properties/1573458/new-jersey-197-hance-ave,197 Hance Ave - Former Red Bank Veterinary Hospital,On-Market,Office,197 Hance Ave,Tinton Falls,NJ,7724,Vacant,,,58000,2.73,,,,,"$1,05,00,000.00 ",$181.03 ,"$38,46,153.85 ",460,No,-74.0829788,40.3296906
https://www.crexi.com/properties/2166920/new-jersey-115-121-e-kinney-st,115-121 E Kinney St,On-Market,Industrial,115-121 E Kinney St,Newark,NJ,7105,Multi,,,36500,,,,,,"$22,50,000.00 ",$61.64 ,,18,No,-74.17073797,40.72722508
https://www.crexi.com/properties/1992594/new-jersey-201-203-43rd-street,201-203 43rd Street,On-Market,Industrial,201-203 43rd St,Union City,NJ,7087,Vacant,,,4950,,,,,,"$12,00,000.00 ",$242.42 ,,86,No,-74.021646,40.7764809
https://www.crexi.com/properties/1817582/new-jersey-1302-route-38,1302 Route 38,On-Market,"Office, Retail",1302 NJ-38,Hainesport,NJ,8036,N/A,,,4566,,1,,,,,,,211,No,-74.846385,39.9727927
https://www.crexi.com/properties/2024064/new-jersey-3-tenant-small-bay-flex-warehouse---west-berlin-nj,"3 Tenant Small Bay Flex Warehouse - West Berlin, NJ",On-Market,Industrial,110 Cushman Ave,Berlin Township,NJ,8091,Multi,,,32500,1.95,,,"$2,71,340.00 ",7.85%,"$34,56,562.00 ",$106.36 ,"$17,72,595.90 ",72,No,-74.91864324,39.79427493
https://www.crexi.com/properties/2139679/new-jersey-south-jersey-asc-high-cap,South Jersey ASC  High Cap,On-Market,Office,1133 E Chestnut Ave,Vineland,NJ,8360,Multi,,3,13900,,,,"$2,48,930.00 ",9.50%,"$26,20,000.00 ",$188.49 ,,44,No,-75.00454423,39.4770232
https://www.crexi.com/properties/1903035/new-jersey-2225-2271-hamilton-boulevard,2225  2271 Hamilton boulevard,On-Market,Industrial,2225 – 2271 Hamilton Blvd,South Plainfield,NJ,7080,N/A,,,,7.3,,,,,,,,155,No,-74.4176855,40.5623407
https://www.crexi.com/properties/2157071/new-jersey-846-livingston-avenue,846 Livingston Avenue,On-Market,Office,846 Livingston Avenue,North Brunswick,NJ,8902,N/A,,,,,,,,,,,,32,No,-74.4667138,40.4717621
https://www.crexi.com/properties/1917394/new-jersey-680-broadway-paterson,680 BROADWAY PATERSON,On-Market,Office,680 Broadway,Paterson,NJ,7514,Vacant,,,,,,,,,,,,56,No,-74.1443982,40.917751
https://www.crexi.com/properties/1700886/new-jersey-188-194-clinton-ave,188-194 Clinton Ave,On-Market,Office,188 Clinton Ave,Newark,NJ,7108,Multi,,,14540,,,,,,"$29,00,000.00 ",$199.45 ,,329,No,-74.18588949,40.72361618
https://www.crexi.com/properties/1079865/new-jersey-375-route-10,375 Route 10,On-Market,Office,375 NJ-10,Hanover,NJ,7981,Vacant,,,5170,,1,,,7.02%,"$12,00,000.00 ",$232.11 ,,920,No,-74.407365,40.8199977
https://www.crexi.com/properties/1473137/new-jersey-1090-route-22-west,1090 Route 22 West,On-Market,"Retail, Multifamily, Industrial, Hospitality, Mixed Use",1090 US-22,Clinton,NJ,8833,N/A,,,,,6,,,,"$14,99,000.00 ",,,2,No,-74.8110727,40.6445588
https://www.crexi.com/properties/1304391/new-jersey-19-prospect-street-south-orange-nj,"19 Prospect Street, South Orange, NJ",On-Market,"Mixed Use, Office, Retail",19 Prospect St,South Orange,NJ,7079,N/A,,,4444,0.097,3,,,,,,,695,No,-74.25573022,40.74477165
